Number of Guests,Quantity of Food,Wastage Food Amount,Type of Food_Dairy Products,Type of Food_Fruits,Type of Food_Meat,Type of Food_Vegetables,Storage Conditions_Room Temperature,Purchase History_Regular,Pricing_Low,Pricing_Moderate,Event Type_Corporate,Event Type_Social Gathering,Event Type_Wedding,Seasonality_Summer,Seasonality_Winter,Preparation Method_Finger Food,Preparation Method_Sit-down Dinner,Geographical Location_Suburban,Geographical Location_Urban,Predicted Wastage,Residuals
400,500,50,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,44.99994,5.00006103515625
290,374,27,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,26.999693,0.0003070831298828125
350,450,35,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,39.36508,-4.365081787109375
300,400,40,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,37.708664,2.2913360595703125
342,405,29,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,29.000107,-0.0001068115234375
380,400,25,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,25.00002,-1.9073486328125e-05
320,480,40,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,40.00001,-1.1444091796875e-05
400,500,40,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,44.99994,-4.99993896484375
342,405,29,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,29.000107,-0.0001068115234375
220,300,15,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,15.763225,-0.7632246017456055
280,350,15,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,18.81575,-3.8157501220703125
220,300,15,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,14.999952,4.76837158203125e-05
400,350,35,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,35.00016,-0.00016021728515625
350,450,35,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,39.36508,-4.365081787109375
220,300,20,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,15.763225,4.2367753982543945
220,300,15,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,15.763225,-0.7632246017456055
300,400,15,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,20.500048,-5.50004768371582
280,350,15,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,18.81575,-3.8157501220703125
284,443,32,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,31.999672,0.00032806396484375
434,495,36,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,35.999943,5.7220458984375e-05
250,350,10,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,9.999945,5.53131103515625e-05
400,500,25,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,25.000101,-0.0001010894775390625
220,300,10,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,10.000626,-0.0006256103515625
350,450,25,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,25.370337,-0.37033653259277344
350,450,25,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,25.370337,-0.37033653259277344
275,388,16,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,16.000334,-0.0003337860107421875
300,400,30,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,29.999329,0.00067138671875
442,482,32,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,32.00024,-0.000240325927734375
400,500,50,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,44.99994,5.00006103515625
350,450,10,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,19.999897,-9.999897003173828
292,470,50,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,49.999905,9.5367431640625e-05
320,400,20,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,24.237059,-4.237058639526367
400,500,40,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,44.99994,-4.99993896484375
220,300,15,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,14.999952,4.76837158203125e-05
230,500,30,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,20.00001,9.999990463256836
280,350,20,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,19.569233,0.4307670593261719
397,482,31,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,31.000006,-5.7220458984375e-06
350,450,35,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,39.36508,-4.365081787109375
280,350,20,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,18.81575,1.1842498779296875
412,478,38,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,37.99978,0.00022125244140625
300,400,35,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,37.708664,-2.7086639404296875
367,420,40,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,39.999603,0.000396728515625
250,350,25,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,21.428581,3.5714187622070312
350,450,20,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,19.999897,0.000102996826171875
350,450,20,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,19.999897,0.000102996826171875
220,300,15,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,15.763225,-0.7632246017456055
453,484,54,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,53.999863,0.0001373291015625
240,450,20,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,20.000233,-0.000232696533203125
400,500,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,44.99994,-4.99993896484375
280,350,25,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,25.000036,-3.62396240234375e-05
350,450,25,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,25.370337,-0.37033653259277344
350,450,30,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,25.370337,4.629663467407227
300,400,15,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,20.500048,-5.50004768371582
300,400,30,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,35.384552,-5.384552001953125
284,443,32,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,31.999672,0.00032806396484375
250,350,20,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,21.428581,-1.4285812377929688
400,500,40,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,44.99994,-4.99993896484375
220,300,15,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,15.763225,-0.7632246017456055
300,400,35,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,37.708664,-2.7086639404296875
300,400,30,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,35.384552,-5.384552001953125
350,450,25,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,25.370337,-0.37033653259277344
250,350,25,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,21.428581,3.5714187622070312
300,400,25,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,20.500048,4.49995231628418
400,500,50,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,44.99994,5.00006103515625
300,400,30,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,29.999329,0.00067138671875
491,497,32,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,32.300133,-0.30013275146484375
350,450,30,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,25.370337,4.629663467407227
247,348,16,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,16.000124,-0.0001239776611328125
320,400,40,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,36.206768,3.793231964111328
300,400,40,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,35.384552,4.615447998046875
320,400,30,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,34.166843,-4.166843414306641
250,350,10,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,9.999945,5.53131103515625e-05
300,400,25,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,20.500048,4.49995231628418
300,400,15,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,20.500048,-5.50004768371582
230,500,30,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,29.999985,1.52587890625e-05
250,350,20,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,21.428581,-1.4285812377929688
300,400,20,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,20.00008,-8.0108642578125e-05
350,450,10,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,19.999897,-9.999897003173828
300,400,20,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,20.500048,-0.5000476837158203
320,400,30,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,34.166843,-4.166843414306641
350,450,35,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,39.36508,-4.365081787109375
250,480,20,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,19.99977,0.0002307891845703125
280,350,20,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,25.000036,-5.000036239624023
300,400,30,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,29.999329,0.00067138671875
300,450,35,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,34.999928,7.2479248046875e-05
429,496,42,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,41.999474,0.00052642822265625
400,500,50,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,44.99994,5.00006103515625
320,400,35,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,36.206768,-1.2067680358886719
350,450,25,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,25.370337,-0.37033653259277344
280,350,20,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,19.569233,0.4307670593261719
207,280,20,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,20.000147,-0.0001468658447265625
280,350,20,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,19.569233,0.4307670593261719
280,350,20,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,19.569233,0.4307670593261719
280,350,20,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,19.569233,0.4307670593261719
320,400,20,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,24.237059,-4.237058639526367
280,350,20,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,19.569233,0.4307670593261719
438,493,35,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,35.00006,-6.103515625e-05
350,450,25,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,25.370337,-0.37033653259277344
240,450,20,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,20.000233,-0.000232696533203125
250,480,20,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,19.99977,0.0002307891845703125
300,400,40,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,37.708664,2.2913360595703125
300,400,40,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,35.384552,4.615447998046875
300,400,15,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,20.500048,-5.50004768371582
429,496,42,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,41.999474,0.00052642822265625
491,497,32,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,32.300133,-0.30013275146484375
280,350,20,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,19.569233,0.4307670593261719
292,470,50,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,49.999905,9.5367431640625e-05
350,450,35,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,39.36508,-4.365081787109375
350,450,35,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,39.36508,-4.365081787109375
310,350,35,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,35.00002,-1.9073486328125e-05
250,350,20,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,19.99979,0.000209808349609375
